player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions,gw_folder
646,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.02,0,0,0,1,52,29,0.0,0.0,5,0,0.0,1,0.0,2,1,5,0,2,1,2,9,7,8,0.0,1,0.0,5,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
632,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.02,0,0,0,0,53,26,0.0,0.0,4,0,0.0,3,0.0,1,1,2,1,4,4,1,9,7,4,0.0,5,0.0,1,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
695,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,56,0,0,0,0.0,0.02,0,0,0,2,36,15,0.0,1.0,6,1,0.0,1,0.0,0,2,3,0,2,0,1,2,2,0,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,35,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
644,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,45,0,0,1,0.01,0.01,0,0,0,0,25,9,0.0,0.0,1,1,0.0,0,0.0,2,0,1,0,1,0,0,4,1,4,0.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,46,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
637,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,49,0,0,0,0.0,0.0,0,0,0,0,29,14,0.0,0.0,5,0,0.0,0,0.0,0,1,2,1,4,4,0,1,2,0,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
83,25-26-prem-brentford-vs-aston-villa,84,1,0,2,0.77,0.02,2,2,1,5,35,5,0.0,0.0,2,0,0.0,1,0.0,2,0,6,0,5,4,1,10,8,7,0.0,3,0.0,1,4,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,1.36,4,0,84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
121,25-26-prem-brentford-vs-aston-villa,90,0,0,1,0.06,0.24,0,2,0,6,55,18,0.0,3.0,6,3,0.0,0,0.0,2,2,7,1,2,0,2,6,6,6,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
101,25-26-prem-brentford-vs-aston-villa,90,0,0,0,0.0,0.01,0,0,0,0,32,15,0.0,0.0,7,0,0.0,14,0.0,0,0,7,0,1,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.13,0.13,0,15,14,,1,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
106,25-26-prem-brentford-vs-aston-villa,90,0,0,0,0.0,0.01,0,0,0,3,35,14,0.0,0.0,2,0,0.0,2,0.0,0,1,5,0,11,6,0,4,2,2,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
129,25-26-prem-brentford-vs-aston-villa,79,0,0,1,0.03,0.01,0,1,0,0,31,10,0.0,0.0,0,1,0.0,0,0.0,3,2,4,0,4,1,0,6,4,6,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,5,0,79,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
110,25-26-prem-brentford-vs-aston-villa,85,0,0,0,0.0,0.01,0,1,0,1,33,12,0.0,0.0,4,0,0.0,1,0.0,3,1,4,3,2,2,1,7,4,6,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,5,0,85,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
40,25-26-prem-brentford-vs-aston-villa,90,0,0,2,0.11,0.03,0,1,0,5,98,75,0.0,1.0,9,0,0.0,3,0.0,0,2,6,0,3,2,0,9,4,1,0.0,8,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
107,25-26-prem-brentford-vs-aston-villa,90,0,0,0,0.0,0.0,0,1,0,1,32,8,0.0,0.0,5,0,0.0,1,0.0,1,1,4,0,2,1,0,4,3,4,0.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
